lipidClass,Gender,lipidClassBase,Tissue,FC,log2FC,absFC,CV,p_value,FDR
CE,M,CE,PLT,1.2364413290525742,0.30619378336463915,1.2364413290525742,0.5778037262488119,0.6766402754556418,0.7689094039268657
CE,M,CE,Plasma,0.9247603848725211,-0.11284849827292544,0.9247603848725211,0.18015018919002734,0.4488820037093389,0.7356893946951575
DE,M,DE,Plasma,0.8710250855129529,-0.19921382586347075,0.8710250855129529,0.219032986277307,0.3244951966968462,0.7356893946951575
DG,M,DG,PLT,1.3841387718281641,0.46898859282421357,1.3841387718281641,0.4239652668559111,0.3570287259728916,0.5950478766214861
DG,M,DG,Plasma,1.272534152892505,0.34770437657401354,1.272534152892505,0.40856893590276866,0.4083761280642194,0.7356893946951575
Ga2 O2,M,GSL,Serum,1.393471133588554,0.4786831166433791,1.393471133588554,0.3862250573049689,0.2893007928161217,0.36162599102015214
LPC,M,LPC,PLT,0.9439626797296773,-0.08319827219986706,0.9439626797296773,0.4046182886681502,0.6309386600541753,0.7511174524454468
LPC,M,LPC,Plasma,0.8451690350093602,-0.2426881835737898,0.8451690350093602,0.1403070063018575,0.09464786472625858,0.4353801777407894
LPE,M,LPE,PLT,1.098449482702453,0.135468522259586,1.098449482702453,0.5797200347087028,0.7624042190608329,0.794171061521701
LPE,M,LPE,Plasma,0.9423508213646927,-0.08566384394540816,0.9423508213646927,0.28861343769550674,0.6451478730401605,0.8607781380310748
LPS,M,LPS,Plasma,0.9052001514711537,-0.14369126886998068,0.9052001514711537,0.20121716351938904,0.47979743132292874,0.7356893946951575
LTotal Hex2Cer,M,GSL,PLT,0.759747055109336,-0.3964089172258617,0.759747055109336,0.6490698614717261,0.5842222236035386,0.7302777795044233
LTotal Hex2Cer,M,GSL,Serum,1.8204663706904047,0.8643080902543848,1.8204663706904047,0.22957055082470834,0.012251437393510122,0.026809936842942424
LTotal HexCer,M,GSL,PLT,1.0966171525963948,0.1330599446530817,1.0966171525963948,0.2077146677911317,0.5225592391873337,0.725776721093519
LTotal HexCer,M,GSL,Serum,1.05553576897332,0.07797546816500087,1.05553576897332,0.29515168910434575,0.7745612403483368,0.7745612403483368
LTotal SM,M,SM,PLT,0.7345751699067595,-0.4450179639386841,0.7345751699067595,0.29788292113581455,0.3141154748892787,0.5808462162297368
LysoGb3 O2,M,LGSL,PLT,2.9086309933950485,1.5403402789864982,2.9086309933950485,0.5352373245171445,0.09475008302594218,0.34708580350944146
LysoGb3 O2,M,LGSL,Serum,44.34123936802091,5.470577189971,44.34123936802091,0.446491240212757,4.492241782622719e-4,0.0022461208913113592
PC,M,PC,PLT,1.2567716165949654,0.32972250374277146,1.2567716165949654,0.10635675178129615,0.04410174512243071,0.34708580350944146
PC,M,PC,Plasma,0.9598155014234298,-0.05917098151431909,0.9598155014234298,0.07813223636251275,0.6423468164267787,0.8607781380310748
PE,M,PE,PLT,1.2455914411764604,0.3168309363835544,1.2455914411764604,0.13496484589611887,0.12495088926339892,0.34708580350944146
PE,M,PE,Plasma,1.007332930796899,0.010540583271890027,1.007332930796899,0.2785812796379528,0.9667422785864475,0.9667422785864475
PG,M,PG,PLT,1.20800279865805,0.2726237970515785,1.20800279865805,0.1274719166847689,0.1111400633578873,0.34708580350944146
PG,M,PG,Plasma,0.7655870233409346,-0.38536171845990114,0.7655870233409346,0.2844437351651475,0.24455295471693878,0.703089744811199
PI,M,PI,PLT,1.2665823276902917,0.34094085509248945,1.2665823276902917,0.17860630381205886,0.12299919544475013,0.34708580350944146
PI,M,PI,Plasma,0.9449113819268975,-0.08174906169072432,0.9449113819268975,0.07619226919012055,0.9354908739644835,0.9667422785864475
PS,M,PS,PLT,1.017954170628934,0.02567261122236218,1.017954170628934,0.04850953603594577,0.7104726489405315,0.7722528792831864
PS,M,PS,Plasma,1.213785380278135,0.27951334895683455,1.213785380278135,0.20227203581068617,0.1929064256812723,0.6338353986670375
TG,M,TG,PLT,1.3480511328528522,0.4308752203433267,1.3480511328528522,0.4357963745227688,0.42284526803283523,0.6606957313013051
TG,M,TG,Plasma,0.81347624206167,-0.2978278829297198,0.81347624206167,0.27596443542635163,0.45241828724827815,0.7356893946951575
Total CAR,M,CAR,PLT,2.140458049880294,1.097919560915478,2.140458049880294,0.35775683080963044,0.059555272473960495,0.34708580350944146
Total CAR,M,CAR,Plasma,1.3311057784294675,0.41262522185230344,1.3311057784294675,0.33116591745729085,0.17604610227859538,0.6338353986670375
Total Cer d,M,Cer,PLT,1.1231445056229552,0.16754355920201416,1.1231445056229552,0.07245365460451834,0.2431885452031934,0.506642802506653
Total Cer d,M,Cer,Plasma,0.8206907833484381,-0.28508934348126536,0.8206907833484381,0.28908941855248377,0.36112951697450935,0.7356893946951575
Total GM3,M,GSL,PLT,1.4395599104051258,0.5256278310311223,1.4395599104051258,0.2810180929277666,0.1631908650946424,0.407977162736606
Total GM3,M,GSL,Plasma,1.4152750994822991,0.5010825096531871,1.4152750994822991,0.13009940071424264,0.00789482966704116,0.09079054117097334
Total Gb3,M,GSL,PLT,0.7656596366911531,-0.3852248901838625,0.7656596366911531,0.5599497309845675,0.5652898143383343,0.7302777795044233
Total Gb3,M,GSL,Plasma,2.1109072287824064,1.0778631757875972,2.1109072287824064,0.3261021659745089,0.017586076594920445,0.13482658722772342
Total Gb4,M,Gb4,PLT,1.1967564052543518,0.25912952764026514,1.1967564052543518,0.9215315884170326,0.8436069938771902,0.8436069938771902
Total Gb4,M,Gb4,Plasma,1.3001003355575642,0.37862296788871563,1.3001003355575642,0.15119674126018326,0.09129035603011326,0.4353801777407894
Total Hex2Cer,M,GSL,PLT,1.5365335657759647,0.6196792831362751,1.5365335657759647,0.49485470845106,0.32527388108865257,0.5808462162297368
Total Hex2Cer,M,GSL,Plasma,1.0640526893925433,0.08956959148126717,1.0640526893925433,0.1148849737177469,0.44669438593292443,0.7356893946951575
Total HexCer,M,GSL,PLT,1.0537435589552528,0.07552381266988184,1.0537435589552528,0.10085180378733888,0.5197550411803418,0.725776721093519
Total HexCer,M,GSL,Plasma,0.9471984569453537,-0.07826136417292717,0.9471984569453537,0.2019015677308284,0.7618059096422092,0.8760767960885405
Total SM,M,SM,PLT,1.2299163142550584,0.2985601553071379,1.2299163142550584,0.07847206070670883,0.05706334569847762,0.34708580350944146
Total SM,M,SM,Plasma,1.0262291023597505,0.037352843948102,1.0262291023597505,0.08418738675341593,0.6736524558504065,0.8607781380310748
Total SM,M,SM_sum,PLT,1.1652535390413499,0.2206438945543096,1.1652535390413499,0.06493071700895323,0.09621502192839308,0.34708580350944146
Total SM,M,SM_sum,Plasma,0.9887336182243458,-0.016346208313093125,0.9887336182243458,0.09106949366795908,0.9435371846496862,0.9667422785864475
Total SPB,M,SPB,PLT,1.7723887250537438,0.8256950543463423,1.7723887250537438,0.44476681024086623,0.2085627723849111,0.474006300874798
Total SPB,M,SPB,Plasma,0.943358778203402,-0.08412153385538947,0.943358778203402,0.21801587538054745,0.7582807407759526,0.8760767960885405
Total SPBP,M,SPBP,PLT,1.267893533586409,0.3424336058750736,1.267893533586409,0.11571351449042912,0.04088135077051785,0.34708580350944146
Total SPBP,M,SPBP,Plasma,0.7790096765231277,-0.36028684595186233,0.7790096765231277,0.05127799773126779,6.156678388921523e-4,0.014160360294519503
Total SPBP,M,SPBP,Serum,0.7212491976422247,-0.4714302860626596,0.7212491976422247,0.05335003111223172,0.016085962105765454,0.026809936842942424
CE,F,CE,PLT,0.9891418841352506,-0.01575061651503599,0.9891418841352506,0.33757593288571985,0.9826041520450275,0.9826041520450275
CE,F,CE,Plasma,0.9699032981379678,-0.044087180836448144,0.9699032981379678,0.1738726449669011,0.9628519169668112,0.9972228328905128
DE,F,DE,Plasma,1.0819345782557126,0.11361326581948117,1.0819345782557126,0.21760620608526968,0.5310817615929747,0.9972228328905128
DG,F,DG,PLT,1.2938568382352051,0.3716779958511535,1.2938568382352051,0.31459935808526795,0.18158650700210324,0.42007879430922207
DG,F,DG,Plasma,1.2374677069674918,0.3073908770259893,1.2374677069674918,0.6765824330407717,0.5491526376361819,0.9972228328905128
Ga2 O2,F,GSL,Serum,1.4522516129919114,0.5382914322369641,1.4522516129919114,0.32585264947650505,0.06560437403670998,0.10934062339451663
LPC,F,LPC,PLT,1.0463061695171874,0.06530507396674622,1.0463061695171874,0.20552833476852705,0.6799443165545447,0.8499303956931809
LPC,F,LPC,Plasma,0.905458429665222,-0.14327968749714617,0.905458429665222,0.1498554147153082,0.25563406870945193,0.9799305967195658
LPE,F,LPE,PLT,1.115844363500225,0.15813581599803997,1.115844363500225,0.11422954331327978,0.17380697207266443,0.42007879430922207
LPE,F,LPE,Plasma,0.9446927198006417,-0.08208295466470666,0.9446927198006417,0.308813103373687,0.6447695951697259,0.9972228328905128
LPS,F,LPS,Plasma,0.8933863976534185,-0.1626438059808594,0.8933863976534185,0.22061479298982759,0.4464120141210991,0.9972228328905128
LTotal Hex2Cer,F,GSL,PLT,0.7586436307614454,-0.3985057492595944,0.7586436307614454,0.6463285103223307,0.9749442691146438,0.9826041520450275
LTotal Hex2Cer,F,GSL,Serum,1.7010741250132526,0.7664460084081285,1.7010741250132526,0.19535965845287737,0.003642779122260432,0.00910694780565108
LTotal HexCer,F,GSL,PLT,1.1336335970992821,0.18095442064650302,1.1336335970992821,0.30056709047602526,0.3721088749083905,0.5814201170443601
LTotal HexCer,F,GSL,Serum,0.9922020214569113,-0.011294198387581035,0.9922020214569113,0.3122116067950899,0.8130257852823052,0.8130257852823052
LTotal SM,F,SM,PLT,0.833042728929871,-0.2635375978148602,0.833042728929871,0.17544286911148388,0.15228341873570705,0.42007879430922207
LysoGb3 O2,F,LGSL,PLT,1.6741461316582766,0.7434254623072195,1.6741461316582766,0.496088144421255,0.09315330895596764,0.42007879430922207
LysoGb3 O2,F,LGSL,Serum,17.750737839862694,4.149807088844803,17.750737839862694,0.6410688994415974,1.2467817533208997e-4,6.233908766604499e-4
PC,F,PC,PLT,1.0046444316574303,0.006684986527249165,1.0046444316574303,0.060238729343864456,0.8796133252287834,0.9561014404660689
PC,F,PC,Plasma,1.0031862294096094,0.004589449725057627,1.0031862294096094,0.19862846082496444,0.9159974210547426,0.9972228328905128
PE,F,PE,PLT,1.0930794769163832,0.1283983020021122,1.0930794769163832,0.046397919353584685,0.1711556876526665,0.42007879430922207
PE,F,PE,Plasma,0.9361230658467796,-0.09522989113005544,0.9361230658467796,0.37784295630394904,0.8698246251794484,0.9972228328905128
PG,F,PG,PLT,1.1457991240976102,0.19635414001966847,1.1457991240976102,0.09647837228862285,0.044236317194380426,0.42007879430922207
PG,F,PG,Plasma,0.8734122326062805,-0.19526535791067223,0.8734122326062805,0.27478493333528786,0.8923959886657049,0.9972228328905128
PI,F,PI,PLT,1.131507407970189,0.17824602994892325,1.131507407970189,0.12377992700683531,0.11421565382111916,0.42007879430922207
PI,F,PI,Plasma,1.0161317529036644,0.023087475867214997,1.0161317529036644,0.2783283405942764,0.9972228328905128,0.9972228328905128
PS,F,PS,PLT,0.953652065119878,-0.06846509226706135,0.953652065119878,0.06811973840679726,0.29196087584306313,0.48660145973843855
PS,F,PS,Plasma,1.2766330223951177,0.3523438712750545,1.2766330223951177,0.27777948030934874,0.1347995531671635,0.7750974307111901
TG,F,TG,PLT,1.5776146110254978,0.657744818362701,1.5776146110254978,0.3504989331291491,0.04851125255207579,0.42007879430922207
TG,F,TG,Plasma,0.967005029998027,-0.04840470080640854,0.967005029998027,0.9570592023350762,0.9429473265479374,0.9972228328905128
Total CAR,F,CAR,PLT,1.3269130879879527,0.4080738781421013,1.3269130879879527,0.35495134227822717,0.18577035428620367,0.42007879430922207
Total CAR,F,CAR,Plasma,1.0686447603276237,0.09578235101213871,1.0686447603276237,0.30144798412019436,0.7274933392650919,0.9972228328905128
Total Cer d,F,Cer,PLT,1.0413240618875288,0.05841910775704272,1.0413240618875288,0.15541928852481396,0.6523226253854649,0.8499303956931809
Total Cer d,F,Cer,Plasma,0.8620789393381236,-0.21410811399837004,0.8620789393381236,0.368013870513667,0.42367620467935574,0.9972228328905128
Total GM3,F,GSL,PLT,1.026999344705615,0.03843526112031324,1.026999344705615,0.2528734936472085,0.8400483305997222,0.9546003756815026
Total GM3,F,GSL,Plasma,1.1942547739892146,0.25611064394068284,1.1942547739892146,0.10656276450086012,0.11096935308782716,0.7750974307111901
Total Gb3,F,GSL,PLT,1.3585687926238121,0.44208761985833933,1.3585687926238121,0.7971545526503917,0.4491498196017151,0.6605144405907575
Total Gb3,F,GSL,Plasma,1.4403812707704307,0.5264507454473485,1.4403812707704307,0.09217873093090892,0.005173979703376681,0.11900153317766367
Total Gb4,F,Gb4,PLT,1.3153262609479954,0.39542069812590697,1.3153262609479954,0.6455989219552963,0.232670805647077,0.42007879430922207
Total Gb4,F,Gb4,Plasma,1.081745342181259,0.11336090876399546,1.081745342181259,0.1346226518598385,0.40906978997041843,0.9972228328905128
Total Hex2Cer,F,GSL,PLT,0.9276233893447875,-0.1083888979453607,0.9276233893447875,0.3985499518151436,0.7732832994328028,0.9205753564676225
Total Hex2Cer,F,GSL,Plasma,0.9994517230899836,-7.91213300932246e-4,0.9994517230899836,0.03568668179807377,0.8784200183162696,0.9972228328905128
Total HexCer,F,GSL,PLT,1.0695356251630863,0.09698453803369791,1.0695356251630863,0.18583726461482608,0.5704908546240004,0.7923484092000005
Total HexCer,F,GSL,Plasma,1.0381064548178895,0.05395439549048732,1.0381064548178895,0.13802500121553907,0.6095877898689888,0.9972228328905128
Total SM,F,SM,PLT,1.0824142167941846,0.11425269339583399,1.0824142167941846,0.07291269285858143,0.1578328171340715,0.42007879430922207
Total SM,F,SM,Plasma,1.0262693065167492,0.03740936271340939,1.0262693065167492,0.23963620095763805,0.9656642703433854,0.9972228328905128
Total SM,F,SM_sum,PLT,1.0799372721738534,0.11094751632216472,1.0799372721738534,0.11022837432020899,0.22684333585728467,0.42007879430922207
Total SM,F,SM_sum,Plasma,1.002449336250333,0.003529324772556485,1.002449336250333,0.18198537702757914,0.9566927773286168,0.9972228328905128
Total SPB,F,SPB,PLT,1.212144641997993,0.27756186204719996,1.212144641997993,0.1943661262876139,0.13447185416300814,0.42007879430922207
Total SPB,F,SPB,Plasma,0.7622488715796865,-0.3916659853920506,0.7622488715796865,0.31694601017032964,0.2552893891716654,0.9799305967195658
Total SPBP,F,SPBP,PLT,1.1299053965908494,0.17620198539908705,1.1299053965908494,0.0927372283764154,0.23524412481316434,0.42007879430922207
Total SPBP,F,SPBP,Plasma,0.7833325278689427,-0.3523032273863017,0.7833325278689427,0.1576968293257091,0.01728393334425186,0.1987652334588964
Total SPBP,F,SPBP,Serum,0.878917964528368,-0.18619957990689734,0.878917964528368,0.1577564106426959,0.14091800971178467,0.17614751213973084
