lipidClassSL,lipidClass,Tissue,FC,log2FC,absFC,CV,p_value,na.rm,FDR
LTotal Hex2Cer 18:1;O2,LTotal Hex2Cer,PLT,0.7604686946161048,-0.39503923556572584,0.7604686946161048,0.6097842583373172,0.6437705948772374,TRUE,0.7979784467350701
LTotal Hex2Cer 18:1;O2,LTotal Hex2Cer,Serum,1.754018917556338,0.8106643077128267,1.754018917556338,0.2586655589541224,9.545176730381736e-5,TRUE,1.9090353460763472e-4
LTotal HexCer 18:1;O2,LTotal HexCer,PLT,1.1219553259864894,0.16601523186391995,1.1219553259864894,0.2785024925897933,0.2524991213240333,TRUE,0.5230338941712118
LTotal HexCer 18:1;O2,LTotal HexCer,Serum,1.02047910908789,0.029246648295376144,1.02047910908789,0.28548621012201036,0.9474526894756926,TRUE,0.9474526894756926
LTotal SM 18:1;O2,LTotal SM,PLT,0.7880439805797977,-0.3436519464319101,0.7880439805797977,0.20650228408077945,0.07607749305655775,TRUE,0.27067488860461997
LysoGb3,LysoGb3 O2,PLT,2.13828205995943,1.096452170955861,2.13828205995943,0.500646872497154,0.006994933242561809,TRUE,0.11254003790571154
LysoGb3,LysoGb3 O2,Serum,30.011539471138956,4.907445420168546,30.011539471138956,0.7082278084953374,6.049101932368657e-7,TRUE,2.419640772947463e-6
SPB O2,Total SPB,PLT,1.4237398130064214,0.5096855193502823,1.4237398130064214,0.45971229506185535,0.08400255163591654,TRUE,0.27067488860461997
SPB O2,Total SPB,Plasma,0.8399877283505485,-0.25155984363540507,0.8399877283505485,0.26346348016426036,0.6337001745121014,TRUE,0.7097441954535536
SPBP O2,Total SPBP,PLT,1.1928951060246236,0.25446718915946476,1.1928951060246236,0.1600471150706786,0.04263063482033603,TRUE,0.2425330785248797
SPBP O2,Total SPBP,Plasma,0.7820875860995924,-0.3545979106850037,0.7820875860995924,0.12128560184616681,8.467283368895529e-5,TRUE,0.0011854196716453741
SPBP O2,Total SPBP,Serum,0.802745650894543,-0.31698515113048964,0.802745650894543,0.1273280806800823,0.002409766153915727,TRUE,0.0032130215385543026
Total Cer 16:0;O2,Total Cer d,PLT,0.745087655557891,-0.42451793401095195,0.745087655557891,0.8771404243152372,0.10869378830872346,TRUE,0.31521198609529805
Total Cer 16:0;O2,Total Cer d,Plasma,0.5328753788015944,-0.9081299191387088,0.5328753788015944,1.084814557989597,0.03287397612671811,TRUE,0.13149590450687243
Total Cer 16:1;O2,Total Cer d,PLT,1.1397404131917992,0.18870527417410382,1.1397404131917992,0.5446920219330759,0.7084265183243856,TRUE,0.7979784467350701
Total Cer 16:1;O2,Total Cer d,Plasma,0.6729114165803495,-0.57151149684481,0.6729114165803495,0.6428829470637399,0.05139295081938562,TRUE,0.17987532786784968
Total Cer 17:1;O2,Total Cer d,PLT,1.014127322348906,0.020238792173628093,1.014127322348906,0.35306273400160454,0.9493808332452516,TRUE,0.9493808332452516
Total Cer 17:1;O2,Total Cer d,Plasma,0.7955093317163994,-0.33004924070814895,0.7955093317163994,0.42996677806017425,0.15818221753132206,TRUE,0.2605354171104128
Total Cer 18:0;O2,Total Cer d,PLT,1.0290203239809925,0.04127147690343385,1.0290203239809925,0.18515325977388267,0.6910514155915968,TRUE,0.7979784467350701
Total Cer 18:0;O2,Total Cer d,Plasma,0.8421433302827157,-0.24786229830560247,0.8421433302827157,1.0486522190119942,0.2345773436346179,TRUE,0.3361994373866934
Total Cer 18:1;O2,Total Cer d,PLT,1.0756891987356145,0.10526129702654473,1.0756891987356145,0.10218474477389762,0.21726017636424305,TRUE,0.4846573165048499
Total Cer 18:1;O2,Total Cer d,Plasma,0.8538878676389001,-0.22788146698867023,0.8538878676389001,0.30405642129830507,0.24014245527620956,TRUE,0.3361994373866934
Total Cer 18:2;O2,Total Cer d,PLT,1.1764821447533986,0.23447942521907447,1.1764821447533986,0.19734780576323127,0.08370271586182884,TRUE,0.27067488860461997
Total Cer 18:2;O2,Total Cer d,Plasma,0.9159192529096926,-0.12670767840096164,0.9159192529096926,0.3113622864266853,0.5183543992329354,TRUE,0.631040138196617
Total Cer 20:1;O2,Total Cer d,PLT,1.207992407766872,0.27261138735214446,1.207992407766872,0.17502197950044926,0.03045871041715144,TRUE,0.22082565052434794
Total Cer 20:1;O2,Total Cer d,Plasma,0.7481704228692613,-0.4185611613740215,0.7481704228692613,0.6560261021266679,0.11848998952661875,TRUE,0.24756130708441265
Total GM3 18:1;O2,Total GM3,PLT,1.1811163030754288,0.2401510321430792,1.1811163030754288,0.2477495746167035,0.16260760517558687,TRUE,0.3977445895061162
Total GM3 18:1;O2,Total GM3,Plasma,1.2951884000969394,0.37316196981614824,1.2951884000969394,0.20809626045491172,0.011815202521371217,TRUE,0.06616513411967881
Total GM3 18:2;O2,Total GM3,PLT,1.2229088627777824,0.2903168910952243,1.2229088627777824,0.32195445685037044,0.16458396807149636,TRUE,0.3977445895061162
Total GM3 18:2;O2,Total GM3,Plasma,1.2997644994268116,0.3782502491869098,1.2997644994268116,0.1471756921656996,0.002141584532686719,TRUE,0.014991091728807034
Total Gb3 16:1;O2,Total Gb3,PLT,0.537681089643653,-0.8951773622679787,0.537681089643653,0.7523075505949868,0.8602958486181886,TRUE,0.8910207003545526
Total Gb3 16:1;O2,Total Gb3,Plasma,1.188115181184095,0.24867470420950608,1.188115181184095,0.2528278222514736,0.13463101514483575,TRUE,0.24756130708441265
Total Gb3 18:1;O2,Total Gb3,PLT,1.0077189674853229,0.011093356352601747,1.0077189674853229,0.6670006731978534,0.8069249356071582,TRUE,0.8666971530595403
Total Gb3 18:1;O2,Total Gb3,Plasma,1.7492538697752775,0.8067396832487393,1.7492538697752775,0.34176994313376863,7.301947146126567e-4,TRUE,0.00681515066971813
Total Gb3 18:2;O2,Total Gb3,PLT,1.118680233654837,0.16179771169650695,1.118680233654837,0.5651087529355373,0.4952341700991836,TRUE,0.6838948063274439
Total Gb3 18:2;O2,Total Gb3,Plasma,1.6949621322648412,0.7612530419728343,1.6949621322648412,0.15763499858704486,1.121540533338234e-5,TRUE,3.140313493347055e-4
Total Gb4 16:1;O2,Total Gb4,Plasma,1.07462899241722,0.1038386661544235,1.07462899241722,0.20186560440880807,0.42407739301613356,TRUE,0.5397348638387154
Total Gb4 18:1;O2,Total Gb4,PLT,1.2362050242429026,0.3059180336379263,1.2362050242429026,0.8351329260432907,0.45517406092530055,TRUE,0.6600023883416858
Total Gb4 18:1;O2,Total Gb4,Plasma,1.1733105740689644,0.23058494376957647,1.1733105740689644,0.1578186161630825,0.0690497244744323,TRUE,0.20710239086909116
Total Gb4 18:2;O2,Total Gb4,PLT,1.233766774317507,0.303069699725375,1.233766774317507,0.5685825738264536,0.33636341443827333,TRUE,0.6503026012473284
Total Gb4 18:2;O2,Total Gb4,Plasma,1.2262388483800128,0.29424001639557756,1.2262388483800128,0.14942958826221006,0.018979945090441798,TRUE,0.0885730770887284
Total Hex2Cer 16:1;O2,Total Hex2Cer,PLT,0.9507792625023126,-0.07281765796307485,0.9507792625023126,0.4543015660793764,0.7154289522452353,TRUE,0.7979784467350701
Total Hex2Cer 16:1;O2,Total Hex2Cer,Plasma,0.8555856561700346,-0.2250157988568482,0.8555856561700346,0.40746114061719063,0.21989633316229204,TRUE,0.3361994373866934
Total Hex2Cer 18:1;O2,Total Hex2Cer,PLT,1.1512930747164314,0.20325513461605976,1.1512930747164314,0.4339892384905239,0.43835338717964667,TRUE,0.6600023883416858
Total Hex2Cer 18:1;O2,Total Hex2Cer,Plasma,1.0254457872835654,0.036251222208244796,1.0254457872835654,0.09280399274931866,0.5582584416870364,TRUE,0.6513015153015426
Total Hex2Cer 18:2;O2,Total Hex2Cer,PLT,1.1086193874709327,0.1487641427245338,1.1086193874709327,0.36023707326247556,0.43737253457032776,TRUE,0.6600023883416858
Total Hex2Cer 18:2;O2,Total Hex2Cer,Plasma,1.1307285748363773,0.17725265989136743,1.1307285748363773,0.09777773235786473,0.08414912462400405,TRUE,0.20710239086909116
Total HexCer 16:1;O2,Total HexCer,Plasma,0.8285609591847646,-0.2713202510576567,0.8285609591847646,0.30175779741508,0.1414636040482358,TRUE,0.24756130708441265
Total HexCer 18:1;O2,Total HexCer,PLT,1.06005054965606,0.08413306290099304,1.06005054965606,0.15008907749678793,0.4205349872427673,TRUE,0.6600023883416858
Total HexCer 18:1;O2,Total HexCer,Plasma,0.9935651355546496,-0.009313544965137416,0.9935651355546496,0.159468359923632,0.8684976737001794,TRUE,0.9006642542075934
Total HexCer 18:2;O2,Total HexCer,Plasma,1.1601469984279194,0.21430761610010196,1.1601469984279194,0.20406614980125262,0.12384321100506666,TRUE,0.24756130708441265
Total SM (184),Total SM,PLT,1.1105995053084698,0.15133865842641891,1.1105995053084698,0.10101467009799499,0.050179257625837186,TRUE,0.2425330785248797
Total SM (184),Total SM,Plasma,0.9972908477020622,-0.003913784501404156,0.9972908477020622,0.14608458112890896,0.9794784746158622,TRUE,0.9794784746158622
Total SM 16:1;O2,Total SM,PLT,0.9048491923013086,-0.14425073103268615,0.9048491923013086,0.3744034394110491,0.4441453922370011,TRUE,0.6600023883416858
Total SM 16:1;O2,Total SM,Plasma,0.7908189705786721,-0.3385806152826816,0.7908189705786721,0.5093610447610011,0.08802273393912054,TRUE,0.20710239086909116
Total SM 17:1;O2,Total SM,PLT,0.9174637337294256,-0.12427696385553699,0.9174637337294256,0.20327771915423706,0.582132384178509,TRUE,0.7673563245989437
Total SM 17:1;O2,Total SM,Plasma,0.9196539576054708,-0.12083698106467758,0.9196539576054708,0.36429787127845864,0.3323984222881936,TRUE,0.4431978963842581
Total SM 18:1;O2,Total SM,PLT,1.1487711117794834,0.20009137518542236,1.1487711117794834,0.09071479767740098,0.014178536176303002,TRUE,0.13705918303759568
Total SM 18:1;O2,Total SM,Plasma,1.0355608756224501,0.05041236512497883,1.0355608756224501,0.18039929561091822,0.6982874429834859,TRUE,0.7520018616745232
Total SM 18:2;O2,Total SM,PLT,1.2329238568367098,0.30208370423700664,1.2329238568367098,0.12592172026625792,0.007761381924531831,TRUE,0.11254003790571154
Total SM 18:2;O2,Total SM,Plasma,1.133695695095355,0.1810334461954731,1.133695695095355,0.15229011080875166,0.08875816751532478,TRUE,0.20710239086909116
